                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9324,                 3.9564,                 4.2545,                0.00429,                0.45763,                0.00765,                 0.0027,                 2.8407,                 3.7756,                 4.1589,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.8715,                 3.9858,                  4.394,                0.00429,                0.45763,                0.00722,                0.00285,                 2.8409,                 3.7753,                 4.1589,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 2.6764,                 3.8261,                 4.2911,                0.00429,                0.45763,                 0.0063,                0.00245,                 2.8409,                 3.7752,                 4.1588,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                  2.634,                 3.9473,                 4.2874,                0.00444,                0.47458,                0.01084,                0.00397,                 2.8409,                 3.7754,                 4.1587,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 2.6531,                 3.8727,                 4.2374,                0.00397,                0.42373,                 0.0149,                0.00424,                 2.8408,                 3.7759,                 4.1586,             0.00010872,             0.00010872,             0.00010872
                      6,                 3.0188,                 3.9191,                 4.2585,                0.00413,                0.44068,                 0.0271,                0.00686,                 2.8407,                 3.7763,                 4.1586,              0.0001111,              0.0001111,              0.0001111
                      7,                 2.5847,                 3.6723,                 4.2413,                0.00413,                0.44068,                0.02663,                0.00562,                 2.8407,                 3.7767,                 4.1586,             0.00010556,             0.00010556,             0.00010556
                      8,                 2.8315,                 3.8415,                 4.1805,                0.00444,                0.47458,                0.03003,                0.00544,                 2.8405,                  3.777,                 4.1586,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 3.0968,                 3.8462,                  4.236,                0.00429,                0.45763,                0.01623,                0.00408,                 2.8404,                 3.7771,                 4.1586,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 2.8259,                 3.5543,                 4.2143,                0.00429,                0.45763,                0.02393,                0.00489,                 2.8408,                 3.7775,                 4.1587,              4.142e-05,              4.142e-05,              4.142e-05
